security,ARIMA_MSE_cumulative_return_test,ARIMA_MSE_cumulative_return_xval,ARIMA_MSE_price_test,ARIMA_MSE_price_xval,ARIMA_R2_cumulative_return_test,ARIMA_R2_cumulative_return_xval,ARIMA_R2_price_test,ARIMA_R2_price_xval,ARIMA_best_order_0,ARIMA_best_order_1,ARIMA_best_order_2,ARIMA_pred_cumulative_return_test,ARIMA_pred_cumulative_return_xval,cumulative_return_test,cumulative_return_xval
AGU,0.00031441412030453934,0.00038412103782977996,7.160894558700546,9.99007159675464,-9.331095024389416,-2.722438614513901,-27.60204251152361,-10.317187513120835,0,1,1,-0.016839668916209694,-0.013592049999889166,0.005071742174368676,-0.0025948535537864137
AIG,0.0002444496639903826,0.0005170298089708626,14.649942753146926,4.1940010595667445,-2.952030106841272,-4.088257267746417,-61.53911475145988,-10.43843874520749,1,1,0,-0.013528145810823289,-0.009820482340951897,0.004062398374026666,0.02430496087897449
AIV,0.00016708998439176324,0.00032920351183935337,0.12220119286155821,0.6789014002722525,-1.5586271877270548,-0.5302490032935041,-0.020083793532018834,-0.5829288150194489,2,1,2,-0.004393918987312007,-0.004738150268592478,0.008638780824712589,-0.03404257406304256
AIZ,6.81994279050789e-05,0.0002080946387905547,88.14298696246625,5.180693328696157,-0.24048931005210417,-5.233364423875784,-145.78590205109202,-15.520482165679919,0,0,1,1.4296360539844954e-07,-0.012115818516809984,-0.017797339626880904,0.012587711774405985
AJG,9.757238629580914e-05,9.11190419885086e-05,0.0697349126456881,0.44831848593502693,-5.010272191317963,-0.004158733634846312,-0.41949614365992427,-0.5509788551346071,0,1,1,-0.005544918046170522,-0.004362612130998977,0.0021814761745675426,-0.02427354755977229
AKAM,0.0189848059583809,0.00415722542441137,629.8117547513102,18.189532260860165,-31.188483331814155,-18.052598535374646,-382.0339637379895,-20.827059737043456,4,2,0,0.17009694827415034,0.10469926477762415,-0.05587123211877332,0.011326877205936503
ALB,0.0003850871880942174,3.564480463902432e-05,18.90035718897398,10.854353356754253,-3.449250111838646,-0.9602645671569048,-17.843851692196196,-50.09182373564757,0,0,0,1.099120794378905e-13,-7.540634783254063e-13,0.028704096076096697,0.002682958744859354
ALGN,0.001440022099142059,0.0069191700304587584,187.82088897818338,73.50271767450296,-2.4463400894686265,-0.8232700663248482,-24.809668518234872,-0.3728205174341306,0,1,0,0.017474658931073472,0.014821211414585589,0.04160040886867944,0.12914628834101927
ALK,0.01624913002577755,0.013694549395355885,847.7428135941174,124.72081483031833,-91.03448524979544,-18.278191916836416,-639.2488788650172,-20.007534102265076,1,2,0,0.17364160712145393,0.10697453168521998,-0.03406461972435615,-0.05392693182951058
ALKS,0.00026617747846572205,0.000913933348402203,16.757515940732578,6.665146623632077,0.3546949882128241,-1.7816330301967453,-10.710427605425373,-5.243747138268876,0,1,1,-0.01862095651851603,-0.014736429016268371,-0.025806467714551196,0.026491192982456058
ALL,2.812057700174371e-05,7.131679770422024e-05,29.724599977859164,3.073217602890885,0.4193131188128082,-4.787406636484969,-84.09647247576628,-36.805892489746064,0,1,1,-0.006922402141570139,-0.005342760325087292,-0.012009843400447529,0.007510477622377998
ALLE,0.00011049809002449444,0.00027950952569675587,8.2479451489955,1.6129585312006949,-9.20329294145166,-0.5342284707597795,-126.52552876117801,-0.42762946049733985,0,1,0,0.013089423843783532,0.011052524411095277,0.00012942546751326667,-0.014349168253968259
ALLY,0.00027851476423942765,0.0002648654453400609,0.1248471803597568,0.19821609350860936,-0.03857887607979871,0.48809578504757234,-0.20694388435723,0.09914192408140654,0,0,3,-0.0008165067340109022,-0.025634199937382474,-0.041242313708875544,-0.03305403273427132
ALSN,0.00015648229419471682,0.0011425193667092765,1.4651909880683203,1.958235587192252,-8.010967484899583,-2.1350810387019163,-55.247789896789925,-2.937824720229758,0,1,0,0.009695645846684586,0.008158809821822155,-0.01290988897495482,0.04845698561063849
ALV,0.002834186885643262,0.005194923913833461,323.0840648925053,55.41075468518007,-21.388684782224946,-4.735530215147059,-253.20273504306863,-4.726423144726387,0,2,1,0.12706116515818855,0.07657039756256334,0.022355339990678846,-0.04527864700775297
ALXN,0.0024395284494730255,0.006174012815459414,68.50398457545673,94.8663704789552,-1.3996368280844025,-2.751175337317017,-2.960960602240032,-2.966227960578103,0,0,1,6.030818200386534e-08,-0.015545675870084819,-0.08732647865740506,0.10667773272473502
AM,0.00038897285524781323,0.00037003056763203744,1.0122845142217527,0.691385298147226,-1.3929771167131322,-0.4859141901334678,-4.4608434017594165,-1.5809298226195527,4,0,1,-0.021854233551946822,0.01796965144528051,0.011548711874444617,0.04182534152329431
AMAT,0.00022908109505361145,8.815916828727346e-05,0.9299882396283203,0.2808680676683914,0.18880363317564441,0.30311198874653134,-0.907533473454815,-0.33441355061881195,0,1,0,0.013148275413884525,0.011102879870891202,0.04645008535379258,0.022554498098688258
AMD,0.0015157088929893254,0.008402312640754738,6.043307659597737,1.332613161138242,-0.2545493430175825,-0.08703075518079562,-45.33568181139901,0.052622222466237045,0,1,0,-0.014456587945699373,-0.011875478188387967,0.0654475457170356,-0.23498888065233503
AME,7.299550471878923e-05,8.5785114117534e-05,4.2550370054432936,0.4549601890307005,-5.607224689972057,0.4167358434728372,-106.30690340329382,0.048913487632607944,0,1,0,0.015332848736749227,0.012976338390289444,-0.0010015356367885087,0.03506926240696595
AMG,0.0001312918229236893,0.0016092227154479455,186.18382714782143,48.56535584026619,-3.14666961127136,-0.7993617356245637,-243.4181002896275,-0.9729385752528763,0,1,0,0.005472002670543263,0.004585091827349119,-0.01733207809034243,-0.06820371936087732
AMGN,0.0001383642056765849,7.192890133175421e-05,12.65084686931755,17.420939195315807,-0.52621909200871,-1.8618250038899111,-4.200342128401432,-24.551948851010877,0,1,2,0.0,0.0,-0.022770258504001717,-0.007346642513903601
AMH,0.0006130828113508571,0.00025816838951673346,0.9106046889370527,0.08247092513825757,-3.237112148714073,-2.8203879665872273,-10.969405815509848,-1.2136506545137529,1,0,3,-0.0003389714313823955,-0.0005746424615751256,-0.01918883558656792,-0.02470187393526413
